ID,Isim,Durum,Tur,Cinsiyet
1,"Rick Sanchez","Alive","Human","Male"
2,"Morty Smith","Alive","Human","Male"
3,"Summer Smith","Alive","Human","Female"
4,"Beth Smith","Alive","Human","Female"
5,"Jerry Smith","Alive","Human","Male"
6,"Abadango Cluster Princess","Alive","Alien","Female"
7,"Abradolf Lincler","unknown","Human","Male"
8,"Adjudicator Rick","Dead","Human","Male"
9,"Agency Director","Dead","Human","Male"
10,"Alan Rails","Dead","Human","Male"
11,"Albert Einstein","Dead","Human","Male"
12,"Alexander","Dead","Human","Male"
13,"Alien Googah","unknown","Alien","unknown"
14,"Alien Morty","unknown","Alien","Male"
15,"Alien Rick","unknown","Alien","Male"
16,"Amish Cyborg","Dead","Alien","Male"
17,"Annie","Alive","Human","Female"
18,"Antenna Morty","Alive","Human","Male"
19,"Antenna Rick","unknown","Human","Male"
20,"Ants in my Eyes Johnson","unknown","Human","Male"
21,"Aqua Morty","unknown","Humanoid","Male"
22,"Aqua Rick","unknown","Humanoid","Male"
23,"Arcade Alien","unknown","Alien","Male"
24,"Armagheadon","Alive","Alien","Male"
25,"Armothy","Dead","unknown","Male"
26,"Arthricia","Alive","Alien","Female"
27,"Artist Morty","Alive","Human","Male"
28,"Attila Starwar","Alive","Human","Male"
29,"Baby Legs","Alive","Human","Male"
30,"Baby Poopybutthole","Alive","Poopybutthole","Male"
31,"Baby Wizard","Dead","Alien","Male"
32,"Bearded Lady","Dead","Alien","Female"
33,"Beebo","Dead","Alien","Male"
34,"Benjamin","Alive","Poopybutthole","Male"
35,"Bepisian","Alive","Alien","unknown"
36,"Beta-Seven","Alive","Alien","unknown"
37,"Beth Sanchez","Alive","Human","Female"
38,"Beth Smith","Alive","Human","Female"
39,"Beth Smith","Alive","Human","Female"
40,"Beth's Mytholog","Dead","Mythological Creature","Female"
41,"Big Boobed Waitress","Alive","Mythological Creature","Female"
42,"Big Head Morty","unknown","Human","Male"
43,"Big Morty","Dead","Human","Male"
44,"Body Guard Morty","Dead","Human","Male"
45,"Bill","Alive","Human","Male"
46,"Bill","unknown","Animal","Male"
47,"Birdperson","Alive","Alien","Male"
48,"Black Rick","Alive","Human","Male"
49,"Blamph","Alive","Alien","unknown"
50,"Blim Blam","Alive","Alien","Male"
51,"Blue Diplomat","Alive","Alien","Male"
52,"Blue Footprint Guy","Dead","Human","Male"
53,"Blue Shirt Morty","unknown","Human","Male"
54,"Bobby Moynihan","Alive","Human","Male"
55,"Boobloosian","Dead","Alien","unknown"
56,"Bootleg Portal Chemist Rick","Dead","Human","Male"
57,"Borpocian","Alive","Alien","Male"
58,"Brad","Alive","Human","Male"
59,"Brad Anderson","Dead","Human","Male"
60,"Calypso","Dead","Human","Female"
61,"Campaign Manager Morty","Dead","Human","Male"
62,"Canklanker Thom","Dead","Alien","Male"
63,"Centaur","Alive","Mythological Creature","Male"
64,"Chris","Dead","Alien","unknown"
65,"Chris","Alive","Humanoid","Male"
66,"Coach Feratu (Balik Alistane)","Dead","Mythological Creature","Male"
67,"Collector","Alive","Alien","Male"
68,"Colossus","Dead","Human","Male"
69,"Commander Rick","Dead","Human","Male"
70,"Concerto","Dead","Humanoid","Male"
71,"Conroy","Dead","Robot","unknown"
72,"Cool Rick","Alive","Human","Male"
73,"Cop Morty","Dead","Human","Male"
74,"Cop Rick","Alive","Human","Male"
75,"Courier Flap","Alive","Alien","unknown"
76,"Cousin Nicky","Dead","Alien","Male"
77,"Cowboy Morty","Alive","Human","Male"
78,"Cowboy Rick","Alive","Human","Male"
79,"Crab Spider","Alive","Alien","unknown"
80,"Creepy Little Girl","Alive","Human","Female"
81,"Crocubot","Dead","Animal","Male"
82,"Cronenberg Rick","unknown","Cronenberg","Male"
83,"Cronenberg Morty","unknown","Cronenberg","Male"
84,"Cult Leader Morty","Alive","Human","Male"
85,"Cyclops Morty","Alive","Humanoid","Male"
86,"Cyclops Rick","Dead","Humanoid","Male"
87,"Cynthia","Dead","Alien","Female"
88,"Cynthia","Alive","Human","Female"
89,"Dale","Dead","Mythological Creature","Male"
90,"Daron Jefferson","Alive","Alien","Male"
91,"David Letterman","Alive","Human","Male"
92,"Davin","Dead","Human","Male"
93,"Diablo Verde","Dead","Mythological Creature","Male"
94,"Diane Sanchez","Dead","Human","Female"
95,"Dipper and Mabel Mortys","unknown","Human","unknown"
96,"Tuberculosis","Dead","Disease","unknown"
97,"Gonorrhea","Dead","Disease","unknown"
98,"Hepatitis A","Dead","Disease","unknown"
99,"Hepatitis C","Dead","Disease","unknown"
100,"Bubonic Plague","Dead","Disease","unknown"
101,"E. Coli","Dead","Disease","unknown"
102,"Donna Gueterman","Dead","Robot","Female"
103,"Doofus Rick","unknown","Human","Male"
104,"Doom-Nomitron","Dead","Alien","unknown"
105,"Dr. Glip-Glop","Dead","Alien","Male"
106,"Dr. Schmidt","unknown","Human","Male"
107,"Dr. Wong","Alive","Human","Female"
108,"Dr. Xenon Bloom","Dead","Humanoid","Male"
109,"Duck With Muscles","Dead","Alien","Male"
110,"Eli","Alive","Human","Male"
111,"Eli's Girlfriend","Alive","Human","Female"
112,"Eric McMan","Alive","Human","Male"
113,"Eric Stoltz Mask Morty","unknown","Human","Male"
114,"Ethan","unknown","Human","Male"
115,"Ethan","Alive","Human","Male"
116,"Evil Beth Clone","Dead","Human","Female"
117,"Evil Jerry Clone","Dead","Human","Male"
118,"Evil Morty","Alive","Human","Male"
119,"Evil Rick","Dead","Humanoid","Male"
120,"Evil Summer Clone","Dead","Human","Female"
121,"Eyehole Man","Alive","Alien","Male"
122,"Fart","Dead","Alien","Male"
123,"Fat Morty","Alive","Human","Male"
124,"Father Bob","Alive","Human","Male"
125,"Flansian","Alive","Alien","unknown"
126,"Fleeb","unknown","Alien","unknown"
127,"Frank Palicky","Dead","Human","Male"
128,"Frankenstein's Monster","Dead","Alien","Male"
129,"Fulgora","Alive","Human","Female"
130,"Galactic Federation President","Dead","Alien","Male"
131,"Gar Gloonch","Dead","Alien","Male"
132,"Gar's Mytholog","Dead","Mythological Creature","Male"
133,"Garblovian","Alive","Alien","Male"
134,"Garmanarnar","Alive","Alien","Male"
135,"Garment District Rick","Dead","Human","Male"
136,"Gazorpazorpfield","Alive","Alien","Male"
137,"Gene","Alive","Human","Male"
138,"General Nathan","Dead","Human","Male"
139,"General Store Owner","Dead","Alien","Male"
140,"Genital Washer","Alive","Human","Male"
141,"Ghost in a Jar","Dead","Alien","Genderless"
142,"Gibble Snake","Dead","Alien","unknown"
143,"Glasses Morty","Alive","Human","Male"
144,"Glenn","Dead","Alien","Male"
145,"Glenn","Alive","Human","Male"
146,"Glexo Slim Slom","Alive","Alien","Male"
147,"Gobo","Dead","Alien","Male"
148,"Goddess Beth","unknown","Mythological Creature","Female"
149,"Gordon Lunas","Dead","Human","Male"
150,"Cornvelious Daniel","Dead","Alien","Male"
151,"Gwendolyn","unknown","Robot","Female"
152,"Hammerhead Morty","unknown","Humanoid","Male"
153,"Hamster In Butt","Alive","Animal","unknown"
154,"Hamurai","Dead","Alien","Male"
155,"Harold","Alive","Cronenberg","Male"
156,"Hemorrhage","Alive","Human","Male"
157,"Hole in the Wall Where the Men Can See it All","unknown","unknown","Genderless"
158,"Hookah Alien","Alive","Alien","unknown"
159,"Hunter","Dead","Human","Male"
160,"Hunter's Father","Alive","Human","Male"
161,"Hydrogen-F","Alive","Alien","Female"
162,"Ice-T","Alive","Alien","Male"
163,"Ideal Jerry","Dead","Mythological Creature","Male"
164,"Insurance Rick","unknown","Human","Male"
165,"Investigator Rick","Dead","Human","Male"
166,"Invisi-trooper","Alive","Human","Male"
167,"Izzy","Alive","Animal","unknown"
168,"Jackie","Alive","Alien","Female"
169,"Jacob","Alive","Human","Male"
170,"Jacqueline","Alive","Human","Female"
171,"Jaguar","Alive","Human","Male"
172,"Jamey","Alive","Human","Male"
173,"Jan-Michael Vincent","Alive","Human","Male"
174,"Jerry 5-126","Alive","Human","Male"
175,"Jerry Smith","Alive","Human","Male"
176,"Celebrity Jerry","Alive","Human","Male"
177,"Jerry Smith","Alive","Human","Male"
178,"Jerry's Mytholog","Dead","Mythological Creature","Male"
179,"Jessica","Alive","Cronenberg","Female"
180,"Jessica","Alive","Human","Female"
181,"Jessica's Friend","Alive","Human","Female"
182,"Jim","Alive","Human","Male"
183,"Johnny Depp","Alive","Human","Male"
184,"Jon","Alive","Alien","Male"
185,"Joseph Eli Lipkip","Alive","Human","Male"
186,"Joyce Smith","Alive","Human","Female"
187,"Juggling Rick","unknown","Human","Male"
188,"Karen Entity","Alive","Alien","Female"
189,"Katarina","Dead","Human","Female"
190,"Keara","Alive","Alien","Female"
191,"Kevin","Dead","Alien","Male"
192,"King Flippy Nips","Alive","Alien","Male"
193,"King Jellybean","Dead","Mythological Creature","Male"
194,"Kozbian","Alive","Alien","unknown"
195,"Kristen Stewart","Alive","Human","Female"
196,"Krombopulos Michael","Dead","Alien","Male"
197,"Kyle","Dead","Humanoid","Male"
198,"Lady Katana","Dead","Humanoid","Female"
199,"Larva Alien","Alive","Alien","unknown"
200,"Lawyer Morty","unknown","Human","Male"
201,"Leonard Smith","Alive","Human","Male"
202,"Lighthouse Keeper","Dead","Alien","Male"
203,"Lil B","Dead","Alien","Male"
204,"Lisa","Dead","Alien","Female"
205,"Little Dipper","Alive","Humanoid","Male"
206,"Lizard Morty","Alive","Humanoid","Male"
207,"Loggins","Alive","Alien","Male"
208,"Logic","Alive","Human","Male"
209,"Long Sleeved Morty","unknown","Human","Male"
210,"Lucy","Dead","Human","Female"
211,"Ma-Sha","Alive","Alien","Female"
212,"Magma-Q","Dead","Alien","Male"
213,"Magnesium-J","Alive","Alien","Male"
214,"Man Painted Silver Who Makes Robot Noises","Alive","Human","Male"
215,"Maximums Rickimus","Dead","Human","Male"
216,"MC Haps","Alive","Human","Male"
217,"Mechanical Morty","Dead","Robot","Male"
218,"Mechanical Rick","unknown","Robot","Male"
219,"Mechanical Summer","unknown","Robot","Female"
220,"Mega Fruit Farmer Rick","Alive","Human","Male"
221,"Melissa","Alive","Mythological Creature","Female"
222,"Michael Denny and the Denny Singers","Alive","Human","Male"
223,"Michael Jenkins","Dead","Human","Male"
224,"Michael McLick","Alive","Human","Male"
225,"Michael Thompson","Alive","Humanoid","Male"
226,"Million Ants","Dead","Animal","Male"
227,"Mitch","Alive","Human","Male"
228,"Mohawk Guy","Dead","Human","Male"
229,"Morty Mart Manager Morty","Alive","Human","Male"
230,"Morty Jr.","Alive","Humanoid","Male"
231,"Morty Rick","unknown","Human","Male"
232,"Morty Smith","Alive","Human","Male"
233,"Morty K-22","Alive","Human","Male"
234,"Morty Smith","Dead","Human","Male"
235,"Mortytown Loco","Dead","Human","Male"
236,"Mr. Beauregard","Dead","Alien","Male"
237,"Mr. Benson","Alive","Human","Male"
238,"Mr. Booby Buyer","Alive","Mythological Creature","Male"
239,"Mr. Goldenfold","Alive","Cronenberg","Male"
240,"Mr. Goldenfold","Alive","Human","Male"
241,"Mr. Marklovitz","Alive","Human","Male"
242,"Mr. Meeseeks","unknown","Humanoid","Male"
243,"Mr. Needful","Alive","Humanoid","Male"
244,"Mr. Poopybutthole","Alive","Poopybutthole","Male"
245,"Mrs. Lipkip","Alive","Human","Female"
246,"Mrs. Pancakes","Alive","Human","Female"
247,"Amy Poopybutthole","Alive","Poopybutthole","Female"
248,"Mrs. Refrigerator","Dead","Alien","Female"
249,"Mrs. Sanchez","unknown","Human","Female"
250,"Mrs. Sullivan","Dead","Human","Female"
251,"Nancy","Alive","Human","Female"
252,"Noob-Noob","Alive","Poopybutthole","Male"
253,"Numbericon","unknown","Alien","unknown"
254,"Octopus Man","Alive","Humanoid","Male"
255,"Orthodox Jew","Alive","Human","Male"
256,"Pat Gueterman","Dead","Robot","Male"
257,"Paul Fleishman","Alive","Human","Male"
258,"Pawnshop Clerk","Alive","Alien","Male"
259,"Pencilvester","Dead","Alien","Male"
260,"Phillip Jacobs","Alive","Human","Male"
261,"Photography Cyborg","unknown","Robot","Male"
262,"Photography Raptor","Dead","Alien","unknown"
263,"Pibbles Bodyguard","Alive","Alien","Male"
264,"Pichael Thompson","Alive","Humanoid","Male"
265,"Pickle Rick","Alive","unknown","Male"
266,"Piece of Toast","Alive","unknown","Genderless"
267,"Plumber Rick","Alive","Human","Male"
268,"Poncho","Dead","Human","Male"
269,"Presidentress of The Mega Gargantuans","Alive","Humanoid","Female"
270,"Prince Nebulon","Dead","Alien","Male"
271,"Principal Vagina","Alive","Cronenberg","Male"
272,"Principal Vagina","Alive","Human","Male"
273,"Purge Planet Ruler","Dead","Alien","Male"
274,"Quantum Rick","unknown","Human","Male"
275,"Randy Dicknose","Alive","Human","Male"
276,"Rat Boss","Dead","Animal","unknown"
277,"Real Fake Doors Salesman","Alive","Human","Male"
278,"Regional Manager Rick","Dead","Human","Male"
279,"Regular Legs","Alive","Human","Male"
280,"Reverse Giraffe","Dead","Alien","Male"
281,"Reverse Rick Outrage","Dead","Human","Male"
282,"Revolio Clockberg Jr.","unknown","Alien","Male"
283,"Rick D. Sanchez III","Dead","Human","Male"
284,"Rick Guilt Rick","unknown","Human","Male"
285,"Rick Prime","Dead","Human","Male"
286,"Rick D-99","Dead","Human","Male"
287,"Rick D716","Dead","Human","Male"
288,"Rick D716-B","Alive","Human","Male"
289,"Rick D716-C","Alive","Human","Male"
290,"Rick Sanchez","Dead","Human","Male"
291,"Rick J-22","Alive","Human","Male"
292,"Rick K-22","Alive","Human","Male"
293,"Rick Sanchez","Dead","Human","Male"
294,"Ricktiminus Sancheziminius","Dead","Human","Male"
295,"Riq IV","Dead","Human","Male"
296,"Risotto Groupon","Dead","Alien","Male"
297,"Risotto's Tentacled Henchman","Dead","Alien","Male"
298,"Robot Morty","unknown","Robot","Male"
299,"Robot Rick","unknown","Robot","Male"
300,"Roger","Dead","Human","Male"
301,"Ron Benson","Alive","Alien","Male"
302,"Ruben","Dead","Human","Male"
303,"Samantha","Alive","Human","Female"
304,"Scary Brandon","Alive","Mythological Creature","Male"
305,"Scary Glenn","Alive","Mythological Creature","Male"
306,"Scary Terry","Alive","Mythological Creature","Male"
307,"Scroopy Noopers","Alive","Alien","Male"
308,"Scropon","unknown","Alien","Male"
309,"Scrotian","Alive","Animal","Male"
310,"Self-Congratulatory Jerry","unknown","Mythological Creature","Male"
311,"Shimshamian","Alive","Alien","Male"
312,"Shlaammi","Alive","Alien","unknown"
313,"Shleemypants","Alive","unknown","Male"
314,"Shmlamantha Shmlicelli","Alive","Human","Female"
315,"Shmlangela Shmlobinson-Shmlower","Alive","Human","Female"
316,"Shmlona Shmlobinson","Alive","Human","Female"
317,"Shmlonathan Shmlower","Alive","Human","Male"
318,"Shmlony Shmlicelli","Alive","Human","Male"
319,"Shmooglite Runner","unknown","Alien","Male"
320,"Shnoopy Bloopers","unknown","Alien","Male"
321,"Shrimply Pibbles","Alive","Alien","Male"
322,"Simple Rick","Dead","Human","Male"
323,"Slaveowner","Dead","Human","Male"
324,"Sleepy Gary","Dead","Alien","Male"
325,"Slick Morty","Dead","Human","Male"
326,"Slippery Stair","Alive","Mythological Creature","Male"
327,"Slow Mobius","Alive","Humanoid","Male"
328,"Slow Rick","Alive","Human","Male"
329,"Snuffles (Snowball)","Alive","Animal","Male"
330,"Solicitor Rick","unknown","Human","Male"
331,"Squanchy","unknown","Alien","Male"
332,"Stacy","Alive","Human","Female"
333,"Stair Goblin","Alive","Mythological Creature","Genderless"
334,"Stealy","Alive","Poopybutthole","Male"
335,"Steve","Alive","Human","Male"
336,"Steven Phillips","Alive","Alien","Male"
337,"Stu","Dead","Alien","Male"
338,"Summer Smith","Alive","Human","Female"
339,"Summer Smith","Alive","Human","Female"
340,"Supernova","Alive","Human","Female"
341,"Taddy Mason","Alive","Human","Male"
342,"Taint Washer","Alive","Human","Male"
343,"Tammy Guetermann","Alive","Cronenberg","Female"
344,"Tammy Guetermann","Dead","Human","Female"
345,"Teacher Rick","Alive","Human","Male"
346,"Terry","unknown","Human","Male"
347,"President Curtis","Alive","Human","Male"
348,"The President of the Miniverse","Dead","Humanoid","Male"
349,"The Scientist Formerly Known as Rick","Dead","Human","Male"
350,"Thomas Lipkip","unknown","Human","Male"
351,"Three Unknown Things","Alive","Alien","unknown"
352,"Tinkles","Dead","Alien","Female"
353,"Tiny Rick","Dead","Human","Male"
354,"Toby Matthews","Alive","Human","Male"
355,"Todd Crystal","Alive","Alien","Male"
356,"Tom Randolph","Alive","Human","Male"
357,"Tommy's Clone","Alive","Human","Male"
358,"Tophat Jones","Dead","Mythological Creature","Male"
359,"Tortured Morty","unknown","Human","Male"
360,"Toxic Morty","Dead","Humanoid","Male"
361,"Toxic Rick","Dead","Humanoid","Male"
362,"Traflorkian","Alive","Alien","unknown"
363,"Trandor","Alive","Alien","Male"
364,"Tree Person","Dead","Humanoid","unknown"
365,"Tricia Lange","Alive","Human","Female"
366,"Trunk Morty","Alive","Humanoid","Male"
367,"Trunk Man","Alive","Humanoid","Male"
368,"Truth Tortoise","unknown","Mythological Creature","Male"
369,"Tusked Assassin","unknown","Alien","Male"
370,"Two Guys with Handlebar Mustaches","Alive","Human","Male"
371,"Tumblorkian","Alive","Alien","Male"
372,"Unity","Alive","Alien","Genderless"
373,"Unmuscular Michael","Alive","Human","Male"
374,"Vampire Master","Alive","Mythological Creature","Male"
375,"Vance Maximus","Dead","Human","Male"
376,"Veronica Ann Bennet","Alive","Alien","Female"
377,"Voltematron","Dead","Alien","unknown"
378,"Wall Crawling Rick","unknown","Humanoid","Male"
379,"Wedding Bartender","unknown","Alien","Male"
380,"Unknown Rick","unknown","Human","Male"
381,"Woman Rick","Alive","Alien","Female"
382,"Worldender","Dead","Alien","Male"
383,"Yaarb","Alive","Alien","Male"
384,"Yellow Headed Doctor","Alive","Alien","Male"
385,"Yellow Shirt Rick","unknown","Human","Male"
386,"Zarbadar Gloonch","Dead","Alien","Female"
387,"Zarbadar's Mytholog","unknown","Mythological Creature","Female"
388,"Zeep Xanflorp","Alive","Humanoid","Male"
389,"Zeta Alpha Rick","Dead","Human","Male"
390,"Zick Zack","Dead","Alien","Male"
391,"Uncle Steve","Dead","Alien","Male"
392,"Bearded Morty","Alive","Human","Male"
393,"Roy","Alive","Human","Male"
394,"Davin","Dead","Cronenberg","Male"
395,"Greebybobe","Alive","Alien","unknown"
396,"Scary Teacher","Alive","Mythological Creature","Male"
397,"Fido","Alive","Animal","Male"
398,"Accountant dog","Alive","Animal","Male"
399,"Tiny-persons advocacy group lawyer","Alive","Mythological Creature","Male"
400,"Giant Judge","Alive","Mythological Creature","Male"
401,"Morty Jr's interviewer","Alive","Human","Male"
402,"Guy from The Bachelor","Alive","Human","Male"
403,"Corn detective","Dead","Humanoid","Male"
404,"Michael Jackson","Alive","Humanoid","Male"
405,"Trunkphobic suspenders guy","Alive","Human","Male"
406,"Spiderweb teddy bear","Alive","Animal","unknown"
407,"Regular Tyrion Lannister","Alive","Human","Male"
408,"Quick Mystery Presenter","Alive","Human","Male"
409,"Mr. Sneezy","Alive","Human","Male"
410,"Two Brothers","Alive","Human","Male"
411,"Alien Mexican Armada","unknown","Alien","Male"
412,"Giant Cat Monster","unknown","Animal","unknown"
413,"Old Women","unknown","Human","Female"
414,"Trunkphobic guy","Alive","Human","Male"
415,"Pro trunk people marriage guy","Alive","Human","Male"
416,"Muscular Mannie","Alive","Human","Male"
417,"Baby Legs Chief","Alive","Human","Male"
418,"Mrs. Sullivan's Boyfriend","Alive","Human","Male"
419,"Plutonian Hostess","Alive","Alien","Female"
