ID,Isim,Durum,Tur,Cinsiyet
420,"Plutonian Host","Alive","Alien","Male"
421,"Rich Plutonian","Alive","Alien","Female"
422,"Rich Plutonian","Alive","Alien","Male"
423,"Synthetic Laser Eels","Alive","Animal","unknown"
424,"Pizza-person","Alive","Humanoid","Male"
425,"Pizza-person","Alive","Humanoid","Male"
426,"Greasy Grandma","Alive","Human","Female"
427,"Phone-person","Alive","Humanoid","Male"
428,"Phone-person","Alive","Humanoid","Male"
429,"Chair-person","Alive","Humanoid","Male"
430,"Chair-person","Alive","Humanoid","Male"
431,"Chair-homeless","Alive","Humanoid","Male"
432,"Chair-waiter","Alive","Humanoid","Male"
433,"Doopidoo","Alive","Animal","unknown"
434,"Super Weird Rick","unknown","Human","Male"
435,"Pripudlian","Alive","Alien","unknown"
436,"Giant Testicle Monster","Alive","Alien","unknown"
437,"Michael","Alive","Human","Male"
438,"Michael's Lawyer","Alive","Human","Male"
439,"Veterinary","Alive","Human","Female"
440,"Veterinary Nurse","Alive","Human","Male"
441,"Bearded Jerry","Alive","Human","Male"
442,"Shaved Head Jerry","Alive","Human","Male"
443,"Tank Top Jerry","Alive","Human","Male"
444,"Pink Polo Shirt Jerry","Alive","Human","Male"
445,"Jerryboree Keeper","Alive","Alien","Female"
446,"Jerryboree Receptionist","Alive","Alien","Male"
447,"Anchor Gear","Alive","Alien","Male"
448,"Gear Cop","Dead","Alien","Male"
449,"Roy's Mum","Alive","Human","Female"
450,"Roy's Wife","Alive","Human","Male"
451,"Roy's Son","Alive","Human","Male"
452,"Simon","Alive","Human","Male"
453,"Vampire Master's Assistant","Alive","Mythological Creature","Male"
454,"Arbolian Mentirososian","Alive","Alien","unknown"
455,"St. Gloopy Noops Nurse","Alive","Alien","Female"
456,"Nano Doctor","Alive","Alien","Male"
457,"Funny Songs Presenter","Alive","Human","Male"
458,"Tax Attorney","unknown","Human","Male"
459,"Butthole Ice Cream Guy","Alive","Alien","Male"
460,"Traflorkian Journalist","Alive","Alien","Male"
461,"Communication's Responsible Rick","Dead","Human","Male"
462,"Teleportation's Responsible Rick","unknown","Human","Male"
463,"SEAL Team Rick","Dead","Human","Male"
464,"SEAL Team Rick","Dead","Human","Male"
465,"SEAL Team Rick","Dead","Human","Male"
466,"SEAL Team Rick","Dead","Human","Male"
467,"Morphizer-XE Customer Support","Alive","Alien","Male"
468,"Morphizer-XE Customer Support","Alive","Alien","Male"
469,"Morphizer-XE Customer Support","unknown","Alien","Male"
470,"Alien Spa Employee","Alive","Alien","Male"
471,"Little Voltron","Alive","Robot","Genderless"
472,"Baby Rick","Alive","Human","Male"
473,"Bartender Morty","Alive","Human","Male"
474,"Dancer Cowboy Morty","Alive","Human","Male"
475,"Dancer Morty","Alive","Human","Male"
476,"Flower Morty","Alive","Human","Male"
477,"Hairdresser Rick","Alive","Human","Male"
478,"Journalist Rick","Alive","Human","Male"
479,"Private Sector Rick","Dead","Human","Male"
480,"Purple Morty","Alive","Alien","Male"
481,"Retired General Rick","unknown","Human","Male"
482,"Secret Service Rick","Alive","Human","Male"
483,"Steve Jobs Rick","Alive","Human","Male"
484,"Sheik Rick","Dead","Human","Male"
485,"Modern Rick","Alive","Human","Male"
486,"Tan Rick","Dead","Human","Male"
487,"Visor Rick","Dead","Human","Male"
488,"Colonial Rick","Dead","Human","Male"
489,"P-Coat Rick","Dead","Human","Male"
490,"Chang","Alive","Human","Male"
491,"Dr. Eleanor Arroway","Alive","Human","Female"
492,"Varrix","Alive","Alien","unknown"
493,"Secretary of the Interior","Alive","Human","Male"
494,"Crystal Poacher","Dead","Alien","Male"
495,"Crystal Poacher","Dead","Alien","Male"
496,"Crystal Poacher","Dead","Alien","Male"
497,"Hologram Rick","Dead","Humanoid","Male"
498,"Fascist Rick","Dead","Human","Male"
499,"Fascist Morty","Dead","Human","Male"
500,"Fascist Mr. President","Alive","Human","Male"
501,"Fascist Rick’s Clone","Dead","Human","Male"
502,"Revolio Clockberg Jr.","Dead","Alien","Male"
503,"Fascist Shrimp Rick","Alive","Animal","Male"
504,"Fascist Shrimp Rick’s Clone","Dead","Animal","Male"
505,"Fascist Shrimp Morty","Alive","Animal","Male"
506,"Fascist Shrimp SS","Alive","Animal","Male"
507,"Fascist Teddy Bear Rick","Alive","Animal","Male"
508,"Fascist Teddy Bear Rick’s Clone","Dead","Animal","Male"
509,"Bully","unknown","Human","Male"
510,"Anchorman","Alive","Human","Male"
511,"Anchorwoman","Alive","Human","Female"
512,"Morty’s Lawyer","Alive","Human","Male"
513,"Judge","Dead","Human","Female"
514,"Public Opinion Judge","Alive","Human","Female"
515,"Caterpillar Mr. Goldenfold","Dead","Animal","Male"
516,"Wasp Rick","Alive","Animal","Male"
517,"Wasp Rick’s Clone","unknown","Animal","Male"
518,"Wasp Morty","Alive","Animal","Male"
519,"Wasp Summer","Alive","Animal","Female"
520,"Wasp Jerry","Alive","Animal","Male"
521,"Wasp Beth","Alive","Animal","Female"
522,"Caterpillar Mr. Goldenfold’s Larvae","Dead","Animal","unknown"
523,"Boglin","unknown","unknown","unknown"
524,"Kirkland Brand Mr. Meeseeks","unknown","Humanoid","Male"
525,"Glootie","Alive","Alien","Male"
526,"Danny Publitz","Alive","Human","Male"
527,"Mothership Intern","Alive","Alien","Male"
528,"Monogatron Leader","Alive","Alien","Male"
529,"Lizard","Dead","Alien","Male"
530,"Deliverance","Dead","Robot","Genderless"
531,"Tony","Dead","Alien","Male"
532,"Tony’s Wife","Dead","Alien","Female"
533,"Monogatron Queen","Alive","Alien","Female"
534,"Tony's Dad","Alive","Alien","Male"
535,"Jeff","Alive","Human","Male"
536,"Josiah","Alive","Human","Male"
537,"Maggie","Alive","Human","Female"
538,"Priest Witherspoon","Alive","Human","Male"
539,"Richard","Alive","Human","Male"
540,"Running Bird","Alive","Human","Male"
541,"Secretary at Tony's","Alive","Alien","Female"
542,"Mountain Sweat Jerry","Alive","Human","Male"
543,"Vermigurber","Alive","Alien","Male"
544,"Miles Knightly","Dead","Alien","Male"
545,"Heist-Con Receptionist","Alive","Alien","Female"
546,"Angie Flint","Alive","Human","Female"
547,"Glar","Alive","Alien","Male"
548,"Truckula","Alive","Mythological Creature","Male"
549,"Snake Arms","Alive","Alien","Male"
550,"Double Microwawe","Alive","Humanoid","Male"
551,"Monitor Lord","Alive","Alien","Male"
552,"Key Catcher","Alive","Alien","Female"
553,"The Shapeshiftress","Alive","Alien","Female"
554,"Heistotron","Dead","Robot","Genderless"
555,"Randotron","Dead","Robot","Genderless"
556,"Hephaestus","Alive","Mythological Creature","Male"
557,"Ventriloquiver","Alive","Humanoid","Female"
558,"Elon Tusk","Alive","Human","Male"
559,"Gramuflackian Anchorman","Dead","Alien","Male"
560,"Gramuflackian General","Dead","Alien","Male"
561,"Netflix Executive","Alive","Human","Male"
562,"Balthromaw","Alive","Mythological Creature","Male"
563,"The Wizard","Dead","Human","Male"
564,"Talking Cat","Alive","Animal","Male"
565,"Debrah","Alive","Mythological Creature","Male"
566,"Debrah’s Partner","Alive","Mythological Creature","Male"
567,"Michael","Alive","Mythological Creature","Male"
568,"Slut Dragon","Alive","Mythological Creature","Male"
569,"Shadow Jacker","Alive","Mythological Creature","Male"
570,"Chachi","Dead","Alien","Male"
571,"Slippy","Alive","Animal","Female"
572,"Robot Snake","unknown","Robot","Genderless"
573,"Snake Hitler","Dead","Animal","Male"
574,"Snake Lincoln","Dead","Animal","Male"
575,"Snake Resistance Robot","Dead","Robot","Genderless"
576,"Snake Linguist","unknown","Animal","Male"
577,"Snake Terminator","unknown","Robot","Male"
578,"Snake Soldier","Alive","Animal","Male"
579,"Snake with Legs","Alive","Animal","Male"
580,"Secret Service Snake","Alive","Animal","Male"
581,"Anchosnake","Alive","Animal","Male"
582,"Anchosnake","Alive","Animal","Female"
583,"80's snake","unknown","Animal","Male"
584,"Bar Customer","Alive","Human","Male"
585,"Bartender","Alive","Human","Female"
586,"PC Basketball Player","Alive","Human","Male"
587,"Cavesnake","Dead","Animal","Male"
588,"Pet Shop Employee","Alive","Human","Male"
589,"Snake Reporter","Alive","Animal","Male"
590,"High Pilot","unknown","Human","Male"
591,"High Pilot","unknown","Human","Male"
592,"Phoenixperson","Dead","Alien","Male"
593,"Tickets Please Guy","Dead","Human","Male"
594,"Floaty Bloody Man","Dead","Human","Male"
595,"Floaty Non-Gasm Brotherhood Member","Dead","Alien","Male"
596,"Floaty Non-Gasm Brotherhood Member Friend","Dead","Alien","Female"
597,"Abradolf Lincler","Alive","Human","Male"
598,"Biblesaurus","Alive","Animal","Male"
599,"Birdperson","Alive","Alien","Male"
600,"Cats Fan","Alive","Alien","Female"
601,"Christmas Storyteller","Alive","Alien","Male"
602,"Cookies Guy","Alive","Human","Male"
603,"Crossy","Alive","unknown","Genderless"
604,"Female Scorpion","Dead","Animal","Female"
605,"Floaty Bloody Man’s Daughter","Dead","Human","Female"
606,"Goomby","Alive","Alien","Male"
607,"Hairspray Fan","Alive","Alien","Female"
608,"Jesus Christ","Alive","Human","Male"
609,"Josh","Dead","Human","Male"
610,"Josh's Sister","Dead","Human","Female"
611,"Leah","Alive","unknown","Female"
612,"Marcus","Alive","Human","Male"
613,"Mike Johnson","Alive","Human","Male"
614,"Mr. Celery & Friends","Alive","unknown","Genderless"
615,"Musical Fan","Alive","Alien","Male"
616,"Phantom of the Opera Fan","Alive","Alien","Male"
617,"Phoenixperson","Alive","Alien","Male"
618,"Private Smith","unknown","Human","Male"
619,"Professor Sanchez","Dead","Human","Male"
620,"Ramamama Lord","Alive","Human","Male"
621,"Ruth Bader Ginsburg","Alive","Human","Female"
622,"Sarge","Alive","Human","Male"
623,"Shrek The Musical Fan","Alive","Alien","Male"
624,"Snuffles","Alive","Animal","Male"
625,"Storylord","Alive","Human","Male"
626,"Tammy Guetermann","Alive","Human","Female"
627,"The Concept of Time","Alive","unknown","Genderless"
628,"Beth Smith","Alive","Human","Female"
629,"Summer Smith","Alive","Human","Female"
630,"Morty Smith","Alive","Human","Male"
631,"Rick Sanchez","Alive","Human","Male"
632,"Train Cop","Dead","Human","Male"
633,"Train Cops","Alive","Human","Female"
634,"Train Cops Instructor","Dead","Human","Male"
635,"Darth Poopybutthole","Alive","Poopybutthole","Male"
636,"Evil Morty","Alive","Human","Male"
637,"Morty’s Disguise","Alive","Human","Female"
638,"Rick’s Disguise","Alive","Human","Male"
639,"Uncle Nibbles","Dead","Alien","Male"
640,"Angry Glorzo","Dead","Alien","Male"
641,"Bruce","Dead","Alien","Male"
642,"Council of Glorzos Member","Dead","Alien","Male"
643,"Council of Glorzos Member","Dead","Alien","Male"
644,"Old Glorzo","Dead","Alien","Male"
645,"Shane","unknown","Alien","Male"
646,"Steve","Dead","Alien","Male"
647,"Troy","Dead","Alien","Male"
648,"Crystal Dealers Boss","Dead","Alien","Male"
649,"Crystal Dealer","Dead","Alien","Male"
650,"Crystal Dealer","Dead","Alien","Male"
651,"Crystal Dealer","Dead","Alien","Male"
652,"SWAT Officer","Dead","Human","Male"
653,"Plane Crash Survivor","unknown","Human","Female"
654,"Plane Crash Survivor","unknown","Human","Male"
655,"Heroine Keith","Alive","Human","Male"
656,"Impervious to Acid SWAT Officer","Dead","Human","Male"
657,"Johnny Carson","Alive","Human","Male"
658,"Sonia Sotomayor","Alive","Human","Female"
659,"Morty’s Father-in-law","Alive","Human","Male"
660,"Morty’s Mother-in-law","Alive","Human","Female"
661,"Morty’s Girlfriend","Alive","Human","Female"
662,"Gaia","Alive","unknown","Female"
663,"Reggie","Dead","Mythological Creature","Male"
664,"Ticktock","unknown","Humanoid","Genderless"
665,"Florflock","Alive","Humanoid","Genderless"
666,"Squeeb","Alive","Humanoid","Genderless"
667,"Defiance Beth","Alive","Human","Female"
668,"Defiance Squanchette","Alive","Alien","Female"
669,"Defiance Doctor","Alive","Alien","Male"
670,"New Improved Galactic Federation Guard","Dead","Alien","Male"
671,"New Improved Galactic Federation Guard","Dead","Alien","Male"
672,"Mr. Nimbus","Alive","Mythological Creature","Male"
673,"Hoovy","Dead","Humanoid","Male"
674,"Bova","Dead","Humanoid","Female"
675,"Japheth","Dead","Humanoid","Male"
676,"Japheth's Middle Son","Dead","Humanoid","Male"
677,"Japheth's Eldest Son","Dead","Humanoid","Male"
678,"Japheth's Youngest Son","Dead","Humanoid","Male"
679,"Japheth's Grandson","Dead","Humanoid","Male"
680,"Adam","Dead","Humanoid","Male"
681,"Adam's Mother","Dead","Humanoid","Female"
682,"Warlock","Dead","Humanoid","Male"
683,"Evolved Narnian","Alive","Humanoid","Male"
684,"Mr. Nimbus Secretary","Alive","Animal","Female"
685,"Evolved Narnian Disguised as Morty","Alive","Humanoid","Male"
686,"Mr. Nimbus' Squid","Dead","Animal","Male"
687,"Scarecrow Rick","Dead","Robot","Male"
688,"Scarecrow Summer","Dead","Robot","Female"
689,"Scarecrow Jerry","Dead","Robot","Male"
690,"Scarecrow Morty","Dead","Robot","Male"
691,"Scarecrow Beth","Dead","Robot","Female"
692,"Glockenspiel Jerry","Alive","Robot","Male"
693,"Glockenspiel Beth","Dead","Robot","Female"
694,"Glockenspiel Rick","Dead","Robot","Male"
695,"Glockenspiel Summer","Dead","Robot","Female"
696,"Glockenspiel Morty","Dead","Robot","Male"
697,"Wicker Beth","Dead","Robot","Female"
698,"Wicker Rick","Dead","Robot","Male"
699,"Wicker Morty","Dead","Robot","Male"
700,"Wicker Summer","Dead","Robot","Female"
701,"Metal Rick","Dead","Robot","Male"
702,"Gun Brain Rick","Dead","Robot","Male"
703,"Mr. Always Wants to be Hunted","Alive","Poopybutthole","Male"
704,"Squid Costume Beth","Dead","Robot","Female"
705,"Squid Costume Jerry","Dead","Robot","Male"
706,"Squid Costume Morty","Dead","Robot","Male"
707,"Squid Costume Rick","Dead","Robot","Male"
708,"Squid Costume Summer","Dead","Robot","Female"
709,"Dracula","Alive","Mythological Creature","Male"
710,"Steve","Alive","Human","Male"
711,"When Wolf","Alive","Mythological Creature","Male"
712,"Too Cute to Murder Beth","Dead","Robot","Female"
713,"Too Cute to Murder Rick","Dead","Robot","Male"
714,"Too Cute to Murder Jerry","Dead","Robot","Male"
715,"Too Cute to Murder Morty","Dead","Robot","Male"
716,"Too Cute to Murder Summer","Dead","Robot","Female"
717,"Planetina","Alive","Humanoid","Female"
718,"Daphne","Alive","Alien","Female"
719,"Diesel Weasel","Alive","Animal","Male"
720,"Eddie","Dead","Human","Male"
721,"Xing Ho","Dead","Human","Female"
722,"Air Tina-Teer","Dead","Human","Female"
723,"Water Tina-Teer","Dead","Human","Male"
724,"Planetina Buyer","Dead","Human","Male"
725,"Tony Galopagus","Alive","Human","Male"
726,"Sticky","Alive","unknown","Male"
727,"Professor Shabooboo","Dead","Human","Male"
728,"Sperm Queen","Dead","unknown","Female"
729,"CHUD King","Alive","Animal","Male"
730,"Princess Ponietta","Alive","Animal","Female"
731,"Naruto Smith","Alive","Humanoid","Male"
732,"Blazen","Dead","Human","Male"
733,"Kathy Ireland","Alive","Human","Female"
734,"Amazing Johnathan","Alive","Human","Male"
735,"Foal Sanchez","Alive","Humanoid","unknown"
736,"Spaceman","Dead","Human","Male"
737,"Cirque du Soleil Zumanity Member","Alive","Human","Female"
738,"Cirque du Soleil Zumanity Member","Alive","Human","Male"
739,"Cirque du Soleil Zumanity Member","Alive","Human","Female"
740,"Cirque du Soleil Zumanity Member","Dead","Human","Female"
741,"Cirque du Soleil Zumanity Member","Alive","Human","Female"
742,"Bruce Chutback","Alive","Human","Male"
743,"Alyson Hannigan","Dead","Alien","Female"
744,"Cenobite","unknown","Mythological Creature","Male"
745,"Cenobite","unknown","Mythological Creature","Female"
746,"Cenobite","unknown","Mythological Creature","Male"
747,"Cenobite","unknown","Mythological Creature","Male"
748,"Cenobite","unknown","Mythological Creature","Male"
749,"Coat Rack Head","unknown","Mythological Creature","Male"
750,"Mousetrap Nipples","unknown","Mythological Creature","Male"
751,"Changeformer","Dead","Robot","Male"
752,"Changeformer","Dead","Robot","Male"
753,"Space Cruiser","Alive","Robot","Female"
754,"Coop","Alive","Human","Male"
755,"Dwayne","Alive","Human","Male"
756,"Franklin D. Roosevelt","Dead","Humanoid","Male"
757,"President's General","Alive","Human","Male"
758,"Giant Assassin Hidden in the Statue of Liberty","Alive","Robot","Female"
759,"Turkey Morty","Alive","Animal","Male"
760,"Turkey Rick","Alive","Animal","Male"
761,"Turkey President Curtis","Alive","Animal","Male"
762,"Martínez","Dead","Animal","Male"
763,"Marvin","Alive","Human","Male"
764,"Jackey","Alive","Human","Male"
765,"Native Alien","Alive","Alien","Male"
766,"Pilgrim Alien","Alive","Alien","Male"
767,"President Turkey","Dead","Humanoid","Male"
768,"Mary-Lou","Alive","Human","Female"
769,"Big Fat rick","unknown","Human","Male"
770,"Hothead Rick","Dead","Human","Male"
771,"Ricardo Montoya","unknown","Human","Male"
772,"Wrap-it-up Little Rick","Dead","Human","Male"
773,"Yo-yo Rick","unknown","Human","Male"
774,"Voiceoverian","Dead","Alien","unknown"
775,"Voiceoverian","Dead","Alien","unknown"
776,"Gotron Pilot","Dead","Human","Male"
777,"Gotron Pilot","Dead","Human","Male"
778,"Gotron Pilot","Dead","Human","Male"
779,"Young Memory Rick","Alive","Human","Male"
780,"Memory Tammy","Dead","Human","Female"
781,"Rick's Garage","Alive","Robot","Female"
782,"Memory Squanchy","Dead","Alien","Male"
783,"Memory Rick","Dead","Human","Male"
784,"Memory Rick","Dead","Human","Male"
785,"Memory Geardude","Dead","Alien","Male"
786,"Birdperson & Tammy's Child","Alive","Humanoid","Female"
787,"Two Crows","Alive","Animal","unknown"
788,"Mr. Cookie President","Alive","Alien","Male"
789,"Nick","Dead","Human","Male"
790,"Harold (Garbage Goober)","Alive","Alien","Male"
791,"Harold's Wife","Alive","Alien","Female"
792,"Alien Crow","Dead","Alien","Male"
793,"Alien Crow","Dead","Alien","Female"
794,"Samansky","Dead","Alien","Male"
795,"Palicki","Alive","Alien","Male"
796,"Sarge","Alive","Alien","Male"
797,"Slartivartian","Dead","Alien","Male"
798,"Ferkusian","Alive","Alien","Male"
799,"Morglutzian","Dead","Alien","Male"
800,"Super Turkey","Dead","Humanoid","Male"
801,"7+7 Years Old Morty","unknown","Human","Male"
802,"26 Years Old Morty","Dead","Human","Male"
803,"40 Years Old Morty","unknown","Human","Male"
804,"Andy","unknown","Human","Male"
805,"Baby Mouse Skin Morty","Alive","Human","Male"
806,"Metaphor for Capitalism","Dead","Humanoid","Male"
807,"Beth Sanchez","Dead","Human","Female"
808,"Crow Scare","Alive","Humanoid","Male"
809,"Pussifer","Dead","Animal","Male"
810,"Stan Lee Rick","unknown","Human","Male"
811,"Re-Build-a-Morty Morty","unknown","Human","Male"
812,"Deformed Morty","Dead","Humanoid","Male"
813,"Crow Horse","Alive","Robot","unknown"
814,"Bald Rick","Dead","Human","Male"
815,"Punk Rick","Dead","Human","Male"
816,"Party Rick","Dead","Human","Male"
817,"Scar Rick","Dead","Human","Male"
818,"Long Hair Rick","unknown","Human","Male"
819,"Redhead Rick","Dead","Human","Male"
820,"Redhead Morty","Dead","Human","Male"
821,"Gotron","unknown","Robot","Genderless"
822,"Young Jerry","unknown","Human","Male"
823,"Young Beth","unknown","Human","Female"
824,"Young Beth","unknown","Human","Female"
825,"Young Jerry","unknown","Human","Male"
826,"Butter Robot","Alive","Robot","Genderless"
